Product_Name,Rating,Unit,MRP,Actual_Price,Offer,SBC_Offer
Grofers Mother's Choice Roasted Sooji/Rava,3.8,500 g,39,36,7% OFF,12% OFF
Safe Harvest Pesticide Free 12 Months Old Raw Sonamasuri Rice,0,5 kg,429,367,14% OFF,17% OFF
Safe Harvest Pesticide Free Cumin Seeds/Jeera,4.4,100 g,49,44,10% OFF,14% OFF
Daawat Rozana Super Basmati Rice,4,5 kg,435,325,25% OFF,25% OFF
Grofers Mother's Choice Besan,4.2,500 g,50,46,8% OFF,12% OFF
Grofers Happy Day Roasted & Salted Pistachios (Pouch),0,200 g,470,271,42% OFF,44% OFF
Grofers Mother's Choice Kashmiri Red Chilli Powder,0,50 g,32,20,37% OFF,40% OFF
Grofers Mother's Choice Powder Black Salt,0,100 g,20,10,50% OFF,55% OFF
Grofers Mother's Choice White Sesame Seeds/Til,4.2,100 g,45,33,26% OFF,28% OFF
Grofers Mother's Choice Kasoori Methi,0,50 g,40,18,55% OFF,57% OFF
Grofers Mother's Choice Unpolished Arhar Dal/Toor Dal,4.2,1 kg,140,135,,5% OFF
Grofers Mother's Choice Unpolished Chana Dal,4.1,1 kg,120,105,12% OFF,15% OFF
Grofers Mother's Choice Unpolished Chana Dal,4.2,500 g,60,57,5% OFF,8% OFF
Grofers Mother's Choice Small Sabudana/Motidana/Sago,3.9,500 g,70,63,10% OFF,12% OFF
YES Premium Raw Ponni Rice,4.2,25 kg,1500,1252,16% OFF,19% OFF
Grofers Mother's Choice White Dried Peas,0,500 g,69,69,,
Naga Maida,5,1 kg,60,60,,
Grofers Mother's Choice Byadgi Chilli Whole,4,100 g,80,68,15% OFF,17% OFF
Mr. Gold Refined Sunflower Oil (Jar),4,5 l,600,534,11% OFF,11% OFF
Grofers Mother's Choice Sendha Salt,4.1,200 g,35,19,45% OFF,48% OFF
Grofers Mother's Choice Flax Seeds,4.2,100 g,50,16,68% OFF,70% OFF
Family Farm Broken Mogra Basmati Rice,0,10 kg,650,410,36% OFF,37% OFF
Grofers Mother's Choice Green Cardamom Whole/Elaichi,0,50 g,345,250,27% OFF,28% OFF
Safe Harvest Pesticide Free Khandsari Sugar,4.1,500 g,59,50,15% OFF,15% OFF
Grofers Mother's Choice Shahjeera Cumin Seeds/Jeera,4.2,20 g,40,27,32% OFF,35% OFF
Grofers Mother's Choice Afghan Kishmish/raisins,3.7,100 g,80,61,23% OFF,26% OFF
Grofers Mother's Choice Split Cashews,3.4,200 g,250,169,32% OFF,33% OFF
Grofers Mother's Choice Whole-240 Cashews,4.4,200 g,290,199,31% OFF,32% OFF
Grofers Mother's Choice Unpolished Red Masoor Dal,4,500 g,65,65,,
Grofers Mother's Choice Sambhar Masala,3.5,50 g,32,20,37% OFF,40% OFF
Grofers Mother's Choice Chat Masala,3.8,50 g,32,20,37% OFF,40% OFF
Grofers Mother's Choice Wheat Daliya/Lapsi,4.1,500g,56,50,10% OFF,14% OFF
Grofers Mother's Choice Plain Makhana/Foxnuts,0,100 g,140,108,22% OFF,25% OFF
Grofers Mother's Choice Diamond Mishri,0,200 g,30,19,36% OFF,40% OFF
Grofers Mother's Choice Diamond Mishri,0,100 g,19,13,31% OFF,31% OFF
Safe Harvest Pesticide Free Wheat Atta (Pouch),3.7,1 kg,59,54,8% OFF,11% OFF
Grofers Mother's Choice Desi Ghee,0,1 l,500,420,16% OFF,16% OFF
Grofers Mother's Choice Clove Whole/Laung,4.1,50 g,95,56,41% OFF,43% OFF
Grofers Mother's Choice Delux Boiled Ponni Rice/Puzhungal Arisi,0,5 kg,335,319,,7% OFF
Safe Harvest Pesticide Free Whole Green Moong (Sabut),0,500 g,85,78,8% OFF,11% OFF
Grofers Mother's Choice Unpolished Black Urad (Sabut),4.1,500 g,90,87,,6% OFF
Safe Harvest Pesticide Free Wheat Atta,0,5 kg,269,257,,5% OFF
Grofers Mother's Choice Idli Rice,4.1,1 kg,60,57,5% OFF,8% OFF
Grofers Mother's Choice Idli Rice,0,5 kg,275,272,,
Grofers Mother's Choice Pulses Soyabeans,0,500 g,65,56,13% OFF,16% OFF
