,product,category,brand,mrp,sp,discount,sku,description,url
154,fruits-vegetables,Apples & Pomegranate,Fresho,223.75,179.00,20,40033815,"Apple - Fuji, Regular",/pd/40033815/fresho-apple-fuji-regular-4-pcs/
155,fruits-vegetables,Apples & Pomegranate,Fresho,338.75,271.00,20,1201615,Apple Shimla Economy 1kg + Mosambi 4pcs + Banana Robusta 1kg + Pomegranate 2pcs,/pd/1201615/fresho-apple-shimla-economy-1kg-mosambi-4pcs-banana-robusta-1kg-pomegranate-2pcs-combo/
156,fruits-vegetables,Organic Fruits,Fresho,40.00,32.00,20,40023478,Coconut - Organically Grown,/pd/40023478/fresho-coconut-organically-grown-1-pc/
157,fruits-vegetables,Root Vegetables,Fresho,31.25,25.00,20,10000095,Colocasia,/pd/10000095/fresho-colocasia-250-g/
158,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,37.50,30.00,20,20000702,"Beans - French, Round",/pd/20000702/fresho-beans-french-round-250-g/
159,fruits-vegetables,Organic Vegetables,Fresho,56.25,45.00,20,50000507,Garlic - Organically Grown,/pd/50000507/fresho-garlic-organically-grown-250-g/
160,fruits-vegetables,Cucumber & Capsicum,Fresho,62.50,50.00,20,10000172,Capsicum - Red,/pd/10000172/fresho-capsicum-red-500-g/
161,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,30.00,24.00,20,10000060,Brinjal - Varikatri,/pd/10000060/fresho-brinjal-varikatri-500-g/
162,fruits-vegetables,Apples & Pomegranate,Fresho,198.75,159.00,20,40134281,Baby Apple Shimla,/pd/40134281/fresho-baby-apple-shimla-1-kg/
163,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,43.75,35.00,20,10000192,Mosambi,/pd/10000192/fresho-mosambi-4-pcs/
164,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,268.75,215.00,20,1203625,Mosambi,/pd/1203625/fresho-mosambi-5x6-pcs/
165,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,218.75,175.00,20,1203626,Mosambi,/pd/1203626/fresho-mosambi-5x4-pcs/
166,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,53.75,43.00,20,10000191,Mosambi,/pd/10000191/fresho-mosambi-6-pcs/
167,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",Fresho,53.75,43.00,20,10000191,Mosambi,/pd/10000191/fresho-mosambi-6-pcs/
168,fruits-vegetables,Cucumber & Capsicum,Fresho,70.00,56.00,20,10000366,Parwal,/pd/10000366/fresho-parwal-500-g/
169,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,20.00,16.00,20,10000274,Beans - Cowpea,/pd/10000274/fresho-beans-cowpea-250-g/
170,fruits-vegetables,"Beans, Brinjals & Okra",Fresho,38.75,31.00,20,10000275,Beans - Cowpea,/pd/10000275/fresho-beans-cowpea-500-g/
